comparison,LR_stat,df,p_value,model
M_both vs M_prompt,0.21803214588241815,1,0.6405434324845257,DEVSTRAL
M_both vs M_temp,430.71493340533783,2,0.0,DEVSTRAL
M_both vs M_prompt,2.0182077218852896,1,0.1554224967827864,GEMMA_3N_E4B
M_both vs M_temp,390.1311224745371,2,0.0,GEMMA_3N_E4B
M_both vs M_prompt,26.48557816697425,1,2.6551295095877947e-07,NOVA_2_LITE
M_both vs M_temp,395.3170630979487,2,0.0,NOVA_2_LITE
M_both vs M_prompt,1.2806189277923181,1,0.25778398786472145,NOVA_MICRO
M_both vs M_temp,312.7606483475278,2,0.0,NOVA_MICRO
